DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,590000000.0,0.07,8428571428
30Sep2024,4210000000.0,0.48,8770833333
30Jun2024,4700000000.0,0.54,8703703703
31Mar2024,3960000000.0,0.46,8608695652
31Dec2023,3840000000.0,0.45,8533333333
30Sep2023,3150000000.0,0.37,8513513513
30Jun2023,20000000.0,0.0,0
31Mar2023,1817000000.0,0.22,8259090909
31Dec2022,-3466000000.0,-0.42,8252380952
30Sep2022,117000000.0,0.01,11700000000
30Jun2022,-1381000000.0,-0.18,7672222222
31Mar2022,-2937000000.0,-0.38,7728947368
31Dec2021,-993000000.0,-0.13,7638461538
30Sep2021,-4142000000.0,-0.57,7266666666
30Jun2021,-2908000000.0,-0.46,6321739130
