DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,167355000000.0,21.9,7641780821
30Sep2024,168209700000.0,22.08,7618192934
30Jun2024,161747500000.0,21.28,7600916353
31Mar2024,165118500000.0,21.74,7595147194
31Dec2023,163725400000.0,21.58,7586904541
30Sep2023,159761100000.0,21.13,7560866067
30Jun2023,119517700000.0,21.4,5584939252
31Mar2023,120474500000.0,21.6,5577523148
31Dec2022,122594900000.0,21.99,5575029558
30Sep2022,106057800000.0,19.07,5561499737
30Jun2022,91959900000.0,16.6,5539753012
31Mar2022,100551800000.0,18.1,5555348066
31Dec2021,106157700000.0,19.1,5557994764
30Sep2021,88343100000.0,16.0,5521443750
30Jun2021,77296400000.0,14.0,5521171428
31Mar2021,108390700000.0,14.9,7274543624
31Dec2020,87582900000.0,15.9,5508358490
30Sep2020,77113700000.0,14.0,5508121428
30Jun2020,69408800000.0,12.6,5508634920
31Mar2020,69276900000.0,12.6,5498166666
31Dec2019,76599600000.0,14.0,5471400000
30Sep2019,66488000000.0,12.1,5494876033
30Jun2019,55681600000.0,20.4,2729490196
31Mar2019,58851200000.0,21.6,2724592592
31Dec2018,55858500000.0,20.6,2711577669
30Jun2018,46014400000.0,17.7,2599683615
