DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14630000000.0,6.59,2220030349
30Sep2024,39090000000.0,17.59,2222285389
30Jun2024,30720000000.0,13.84,2219653179
31Mar2024,14120000000.0,6.36,2220125786
31Dec2023,8380000000.0,3.77,2222811671
30Sep2023,8470000000.0,3.81,2223097112
30Jun2023,6000000000.0,2.7,2222222222
31Mar2023,24090000000.0,10.85,2220276497
31Dec2022,13600000000.0,6.13,2218597063
30Sep2022,5480000000.0,2.46,2227642276
30Jun2022,14480000000.0,6.51,2224270353
31Mar2022,16010000000.0,7.2,2223611111
31Dec2021,13880000000.0,6.24,2224358974
30Sep2021,16080000000.0,7.23,2224066390
30Jun2021,32520000000.0,14.63,2222829801
31Mar2021,4950000000.0,2.22,2229729729
31Dec2020,3400000000.0,1.53,2222222222
30Sep2020,1980000000.0,0.89,2224719101
30Jun2020,-400000000.0,-0.18,2222222222
31Mar2020,3260000000.0,1.47,2217687074
31Dec2019,1930000000.0,0.86,2244186046
30Sep2019,9730000000.0,4.38,2221461187
30Jun2019,225800000.0,0.1,2258000000
31Mar2019,2358200000.0,1.06,2224716981
31Dec2018,2474600000.0,1.11,2229369369
30Sep2018,3086200000.0,1.38,2236376811
30Jun2018,4135300000.0,1.86,2223279569
31Mar2018,3769700000.0,1.69,2230591715
