DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,30229000000.0,14.2,2128802816
30Sep2024,6311800000.0,2.97,2125185185
30Jun2024,3558000000.0,1.67,2130538922
31Mar2024,28427500000.0,20.04,1418537924
31Dec2023,5290200000.0,3.73,1418284182
30Sep2023,51181600000.0,36.08,1418558758
30Jun2023,62039000000.0,43.73,1418682826
31Mar2023,32226200000.0,22.72,1418406690
31Dec2022,1724300000.0,1.22,1413360655
30Sep2022,-21721400000.0,-15.32,1417845953
30Jun2022,-101969400000.0,-71.88,1418606010
31Mar2022,17952600000.0,12.66,1418056872
31Dec2021,8688600000.0,6.12,1419705882
30Sep2021,19235100000.0,13.56,1418517699
30Jun2021,17950000000.0,12.6,1424603174
31Mar2021,30179600000.0,20.43,1477219774
31Dec2020,23546400000.0,15.51,1518143133
30Sep2020,24774500000.0,16.26,1523646986
30Jun2020,28138300000.0,18.47,1523459664
31Mar2020,268000000.0,0.18,1488888888
31Dec2019,7472000000.0,4.9,1524897959
30Sep2019,10523100000.0,6.91,1522879884
30Jun2019,8109500000.0,5.32,1524342105
31Mar2019,29699200000.0,19.49,1523817342
31Dec2018,2475500000.0,1.62,1528086419
30Sep2018,10919800000.0,7.17,1522984658
30Jun2018,17192100000.0,11.28,1524122340
31Mar2018,17478900000.0,11.47,1523879686
