DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,24420000000.0,63.21,386331276
30Sep2024,-9888000000.0,-25.6,386250000
30Jun2024,27267000000.0,70.64,385999433
31Mar2024,18938850000.0,49.07,385955777
31Dec2023,29984940000.0,77.7,385906563
30Sep2023,1878600000.0,4.87,385749486
30Jun2023,30906010000.0,80.16,385554016
31Mar2023,9160200000.0,23.76,385530303
31Dec2022,14226040000.0,36.91,385425088
30Sep2022,-15854850000.0,-41.14,385387700
30Jun2022,-10642610000.0,-27.64,385043777
31Mar2022,-16797900000.0,-43.61,385184590
31Dec2021,1284500000.0,3.33,385735735
30Sep2021,-14404200000.0,-37.41,385036086
30Jun2021,-31792650000.0,-82.6,384898910
31Mar2021,-11590490000.0,-30.12,384810424
31Dec2020,-6265810000.0,-16.28,384877764
30Sep2020,-11947700000.0,-31.05,384789049
30Jun2020,-28493920000.0,-74.05,384792977
31Mar2020,-8734660000.0,-22.7,384786784
31Dec2019,4904500000.0,12.75,384666666
30Sep2019,-10656110000.0,-27.7,384697111
30Jun2019,12004680000.0,31.22,384518898
31Mar2019,5895870000.0,15.34,384346153
31Dec2018,1908880000.0,4.97,384080482
30Sep2018,-6521300000.0,-16.96,384510613
30Jun2018,277900000.0,0.72,385972222
31Mar2018,1176420000.0,3.06,384450980
