DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,68220000000.0,16.43,4152160681
30Sep2024,68130000000.0,16.41,4151736745
30Jun2024,57680000000.0,13.9,4149640287
31Mar2024,84800000000.0,20.43,4150758688
31Dec2023,61130000000.0,14.76,4141598915
30Sep2023,62150000000.0,15.01,4140572951
30Jun2023,59560000000.0,14.36,4147632311
31Mar2023,59040000000.0,14.2,4157746478
31Dec2022,62100000000.0,14.77,4204468517
30Sep2022,62530000000.0,14.86,4207940780
30Jun2022,49010000000.0,11.65,4206866952
31Mar2022,51770000000.0,12.31,4205523964
31Dec2021,58700000000.0,13.96,4204871060
30Sep2021,54630000000.0,12.93,4225058004
30Jun2021,52010000000.0,12.24,4249183006
31Mar2021,44590000000.0,10.47,4258834765
31Dec2020,50830000000.0,11.93,4260687342
30Sep2020,44970000000.0,10.56,4258522727
30Jun2020,40080000000.0,9.41,4259298618
31Mar2020,43350000000.0,10.19,4254170755
31Dec2019,44660000000.0,10.51,4249286393
30Sep2019,40370000000.0,9.46,4267441860
30Jun2019,38020000000.0,8.83,4305775764
31Mar2019,38200000000.0,8.75,4365714285
31Dec2018,36100000000.0,8.3,4349397590
30Sep2018,38790000000.0,8.88,4368243243
