DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,54213600000.0,4.34,12491612903
30Sep2024,50783400000.0,4.06,12508226600
30Jun2024,49174500000.0,3.94,12480837563
31Mar2024,50202000000.0,4.02,12488059701
31Dec2023,55720700000.0,4.47,12465480984
30Sep2023,49269600000.0,3.96,12441818181
30Jun2023,49027400000.0,3.94,12443502538
31Mar2023,50868600000.0,4.1,12406975609
31Dec2022,50310100000.0,4.06,12391650246
30Sep2022,44660600000.0,3.61,12371357340
30Jun2022,41693800000.0,3.38,12335443786
31Mar2022,41909600000.0,3.4,12326352941
31Dec2021,41562000000.0,3.37,12332937685
30Sep2021,36971800000.0,3.0,12323933333
30Jun2021,30134900000.0,2.45,12299959183
31Mar2021,38168400000.0,3.05,12514229508
31Dec2020,36628500000.0,2.98,12291442953
30Sep2020,32324000000.0,2.62,12337404580
30Jun2020,23427600000.0,1.91,12265759162
31Mar2020,37970800000.0,3.09,12288284789
31Dec2019,41419300000.0,3.37,12290593471
30Sep2019,40231000000.0,3.28,12265548780
30Jun2019,31739400000.0,2.59,12254594594
31Mar2019,34819000000.0,2.84,12260211267
31Dec2018,32090700000.0,2.62,12248358778
30Sep2018,29546700000.0,2.42,12209380165
30Jun2018,28186800000.0,2.31,12202077922
31Mar2018,29327100000.0,2.41,12168921161
