DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,12860000000.0,5.27,2440227703
30Sep2024,12990000000.0,5.33,2437148217
30Jun2024,12050000000.0,4.95,2434343434
31Mar2024,10070000000.0,4.13,2438256658
31Dec2023,24160000000.0,9.92,2435483870
30Sep2023,29130000000.0,12.02,2423460898
30Jun2023,17050000000.0,7.09,2404795486
31Mar2023,37490000000.0,15.24,2459973753
31Dec2022,12340000000.0,5.14,2400778210
30Sep2022,-910000000.0,0.38,-2394736842
30Jun2022,9560000000.0,3.98,2402010050
31Mar2022,26370000000.0,10.99,2399454049
31Dec2021,34240000000.0,14.25,2402807017
30Sep2021,53830000000.0,22.36,2407423971
30Jun2021,52580000000.0,21.85,2406407322
31Mar2021,40180000000.0,16.7,2405988023
31Dec2020,28290000000.0,11.77,2403568394
30Sep2020,16920000000.0,7.04,2403409090
30Jun2020,-1460000000.0,-0.61,2393442622
31Mar2020,2420000000.0,1.01,2396039603
31Dec2019,6910000000.0,2.88,2399305555
30Sep2019,29170000000.0,12.14,2402800658
30Jun2019,14230000000.0,5.92,2403716216
31Mar2019,15280000000.0,6.35,2406299212
31Dec2018,16190000000.0,6.76,2394970414
30Sep2018,20890000000.0,8.83,2365798414
31Mar2018,22350000000.0,9.29,2405812701
