DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,46396300000.0,23.64,1962618443
30Sep2024,33437200000.0,16.82,1987942925
30Jun2024,73993900000.0,37.47,1974750467
31Mar2024,41333000000.0,20.6,2006456310
31Dec2023,30050100000.0,15.12,1987440476
30Sep2023,31909700000.0,16.06,1986905354
30Jun2023,41093300000.0,20.89,1967127812
31Mar2023,45295200000.0,22.78,1988375768
31Dec2022,27918800000.0,14.06,1985689900
30Sep2022,35793900000.0,18.17,1969944964
30Jun2022,20711500000.0,10.43,1985762224
31Mar2022,27674000000.0,13.74,2014119359
31Dec2021,21313600000.0,10.75,1982660465
30Sep2021,20320100000.0,10.25,1982448780
30Jun2021,16419200000.0,8.28,1982995169
31Mar2021,16823700000.0,8.29,2029396863
31Dec2020,18535400000.0,9.36,1980277777
30Sep2020,29334600000.0,14.89,1970087306
30Jun2020,12444500000.0,6.43,1935381026
31Mar2020,19518200000.0,9.71,2010113285
31Dec2019,23293300000.0,12.29,1895305126
30Jun2019,13602000000.0,7.13,1907713884
31Mar2019,14078000000.0,7.38,1907588075
31Dec2018,12909300000.0,6.77,1906838995
30Sep2018,11416500000.0,5.99,1905926544
30Jun2018,10249400000.0,5.38,1905092936
