DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,10415000000.0,35.17,296133067
30Sep2024,12202000000.0,41.21,296093181
30Jun2024,11062000000.0,37.37,296012844
31Mar2024,11007000000.0,37.16,296205597
31Dec2023,11353000000.0,38.36,295959332
30Sep2023,11336000000.0,38.32,295824634
30Jun2023,11523000000.0,38.92,296068859
31Mar2023,10911000000.0,36.89,295771211
31Dec2022,9650000000.0,32.62,295830778
30Sep2022,6196000000.0,35.35,175275813
30Jun2022,5993000000.0,34.18,175336454
31Mar2022,5992000000.0,34.19,175255922
31Dec2021,6125000000.0,34.95,175250357
30Sep2021,4968000000.0,28.36,175176304
30Jun2021,5758000000.0,32.95,174749620
31Mar2021,4664000000.0,26.7,174681647
31Dec2020,4942000000.0,28.31,174567290
30Sep2020,4298000000.0,24.64,174431818
30Jun2020,3970000000.0,22.8,174122807
31Mar2020,4159000000.0,23.9,174016736
31Dec2019,3767000000.0,21.7,173594470
30Sep2019,3882000000.0,22.35,173691275
30Jun2019,3818000000.0,22.0,173545454
31Mar2019,3604000000.0,20.78,173435996
31Dec2018,3627000000.0,20.94,173209169
30Sep2018,4003000000.0,23.14,172990492
31Mar2018,2894000000.0,16.84,171852731
