DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,9846700000.0,21.58,456288229
30Sep2024,8077600000.0,17.71,456103896
30Jun2024,8891800000.0,19.51,455756022
31Mar2024,3840800000.0,8.43,455610913
31Dec2023,9164400000.0,20.14,455034756
30Sep2023,5486100000.0,12.06,454900497
30Jun2023,4769600000.0,10.48,455114503
31Mar2023,1190100000.0,2.62,454236641
31Dec2022,404000000.0,0.89,453932584
30Sep2022,1486200000.0,3.27,454495412
30Jun2022,1171800000.0,2.58,454186046
31Mar2022,-358900000.0,-0.79,454303797
31Dec2021,5304400000.0,11.68,454143835
30Sep2021,-20948900000.0,-46.22,453243184
30Jun2021,6458700000.0,14.23,453879128
31Mar2021,3163600000.0,6.98,453237822
31Dec2020,2182500000.0,4.82,452800829
30Sep2020,3604300000.0,7.95,453371069
30Jun2020,3635800000.0,8.03,452777085
31Mar2020,3903000000.0,8.64,451736111
31Dec2019,-814700000.0,-1.8,452611111
30Sep2019,1378000000.0,3.04,453289473
30Jun2019,4459300000.0,9.86,452261663
31Mar2019,5427800000.0,11.95,454209205
31Dec2018,1418200000.0,3.14,451656050
30Sep2018,4247500000.0,9.4,451861702
30Jun2018,4294800000.0,9.5,452084210
31Mar2018,2924600000.0,6.47,452024729
