DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,35250000000.0,112.12,314395290
30Sep2024,30692000000.0,97.62,314402786
30Jun2024,36499000000.0,116.09,314402618
31Mar2024,38778000000.0,123.34,314399221
31Dec2023,31300000000.0,101.9,307163886
30Sep2023,37165000000.0,123.03,302080793
30Jun2023,24851000000.0,82.27,302066366
31Mar2023,26236000000.0,86.85,302084052
31Dec2022,23555000000.0,79.17,297524314
30Sep2022,20615000000.0,68.24,302095545
30Jun2022,10128000000.0,33.53,302057858
31Mar2022,18389000000.0,60.87,302102842
31Dec2021,10113000000.0,33.48,302060931
30Sep2021,4753000000.0,15.73,302161474
30Jun2021,4408000000.0,14.59,302124742
31Mar2021,11661000000.0,38.6,302098445
31Dec2020,19414000000.0,64.27,302069394
30Sep2020,13716000000.0,45.41,302048007
30Jun2020,-2494000000.0,-8.26,301937046
31Mar2020,12917000000.0,42.76,302081384
31Dec2019,15648000000.0,51.8,302084942
30Sep2019,13586000000.0,44.97,302112519
31Mar2019,17956000000.0,59.44,302086137
31Dec2018,14893000000.0,49.3,302089249
30Sep2018,22404000000.0,74.17,302062828
30Jun2018,19753000000.0,65.39,302079828
