DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,1382400000.0,1.42,973521126
30Sep2024,2313000000.0,2.38,971848739
30Jun2024,1541400000.0,1.59,969433962
31Mar2024,2417700000.0,2.49,970963855
31Dec2023,1581200000.0,1.63,970061349
30Sep2023,1613100000.0,1.66,971746987
30Jun2023,1260600000.0,1.3,969692307
31Mar2023,1263700000.0,1.3,972076923
31Dec2022,1221400000.0,1.26,969365079
30Sep2022,3586400000.0,3.7,969297297
30Jun2022,852600000.0,0.0,0
31Mar2022,661500000.0,0.68,972794117
31Dec2021,1038100000.0,1.07,970186915
30Sep2021,732500000.0,0.76,963815789
30Jun2021,879200000.0,0.91,966153846
31Mar2021,72400000.0,0.08,905000000
31Dec2020,315500000.0,0.35,901428571
30Sep2020,104300000.0,0.12,869166666
