DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,38667200000.0,4.15,9317397590
30Sep2024,37111600000.0,3.99,9301152882
30Jun2024,36949000000.0,4.0,9237250000
31Mar2024,41277700000.0,4.44,9296779279
31Dec2023,39702300000.0,4.27,9297962529
30Sep2023,37949000000.0,4.08,9301225490
30Jun2023,35426500000.0,5.08,6973720472
31Mar2023,42144000000.0,6.04,6977483443
31Dec2022,37017200000.0,5.31,6971224105
30Sep2022,36510400000.0,5.23,6980956022
30Jun2022,37658600000.0,5.4,6973814814
31Mar2022,43206400000.0,6.2,6968774193
31Dec2021,33494400000.0,4.8,6978000000
30Sep2021,33382700000.0,4.79,6969248434
30Jun2021,60854100000.0,8.72,6978681192
31Mar2021,35156100000.0,6.72,5231562500
31Dec2020,33238500000.0,6.35,5234409448
30Sep2020,31174100000.0,5.96,5230553691
30Jun2020,20005300000.0,3.92,5103392857
31Mar2020,31826600000.0,6.09,5226042692
31Dec2019,26734900000.0,5.11,5231878669
30Sep2019,25236400000.0,4.92,5129349593
30Jun2019,24278900000.0,4.64,5232521551
31Mar2019,30539600000.0,5.84,5229383561
31Dec2018,23311700000.0,4.45,5238584269
30Sep2018,23094900000.0,4.42,5225090497
30Jun2018,22405400000.0,4.28,5234906542
31Mar2018,20046800000.0,3.83,5234151436
