DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,218040000000.0,13.7,15915328467
30Sep2024,77130000000.0,11.4,6765789473
30Jun2024,174480000000.0,22.37,7799731783
31Mar2024,112830000000.0,16.68,6764388489
31Dec2023,99240000000.0,14.67,6764826175
30Sep2023,112080000000.0,16.56,6768115942
30Jun2023,97260000000.0,14.38,6763560500
31Mar2023,138210000000.0,20.43,6765051395
31Dec2022,83730000000.0,12.38,6763327948
30Sep2022,69150000000.0,10.22,6766144814
30Jun2022,150960000000.0,22.31,6766472433
31Mar2022,110940000000.0,16.4,6764634146
31Dec2021,101670000000.0,15.39,6606237816
30Sep2021,92280000000.0,14.09,6549325762
30Jun2021,85950000000.0,13.28,6472138554
31Mar2021,76170000000.0,11.82,6444162436
31Dec2020,86280000000.0,13.39,6443614637
30Sep2020,65460000000.0,10.16,6442913385
30Jun2020,97530000000.0,15.25,6395409836
31Mar2020,65750000000.0,10.01,6568431568
31Dec2019,95850000000.0,15.12,6339285714
30Sep2019,97020000000.0,15.31,6337034617
30Jun2019,90360000000.0,14.26,6336605890
31Mar2019,103590000000.0,17.49,5922813036
31Dec2018,89280000000.0,14.08,6340909090
30Sep2018,95480000000.0,16.06,5945205479
30Jun2018,94750000000.0,15.97,5932999373
