DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,2294100000.0,267.76,8567747
30Sep2024,931300000.0,196.63,4736306
30Jun2024,3177100000.0,259.84,12227139
31Mar2024,6617600000.0,183.41,36080911
31Dec2023,7342300000.0,203.49,36081871
30Sep2023,4466200000.0,123.78,36081757
30Jun2023,5811200000.0,161.06,36080963
31Mar2023,5462100000.0,151.39,36079661
31Dec2022,2767700000.0,76.7,36084745
30Sep2022,1896000000.0,52.55,36079923
30Jun2022,2788600000.0,77.47,35995869
31Mar2022,6452100000.0,178.82,36081534
31Dec2021,4827000000.0,133.58,36135649
30Sep2021,5777000000.0,160.11,36081444
30Jun2021,6617200000.0,183.4,36080697
31Mar2021,7997900000.0,221.29,36142166
31Dec2020,6262300000.0,173.57,36079391
30Sep2020,5472500000.0,151.67,36081624
30Jun2020,3708000000.0,102.77,36080568
31Mar2020,5881500000.0,163.01,36080608
31Dec2019,3099500000.0,87.65,35362236
30Sep2019,3090500000.0,88.71,34838236
30Jun2019,3630300000.0,104.21,34836388
31Mar2019,3209500000.0,92.13,34836643
31Dec2018,3012900000.0,86.49,34835241
30Sep2018,493300000.0,14.16,34837570
30Jun2018,2794800000.0,80.22,34839192
