DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,9779200000.0,3.06,3195816993
30Sep2024,8580000000.0,2.9,2958620689
30Jun2024,7370400000.0,2.96,2490000000
31Mar2024,7292300000.0,2.79,2613727598
31Dec2023,5270800000.0,1.33,3963007518
30Sep2023,4102600000.0,1.28,3205156250
30Jun2023,4464100000.0,1.4,3188642857
31Mar2023,7597000000.0,2.43,3126337448
31Dec2022,15043400000.0,4.7,3200723404
30Sep2022,12002300000.0,3.75,3200613333
31Mar2022,22883000000.0,7.16,3195949720
31Dec2021,486700000.0,0.15,3244666666
30Sep2021,18751200000.0,5.86,3199863481
30Jun2021,1980400000.0,0.53,3736603773
31Mar2021,2462300000.0,0.64,3847343750
31Dec2020,809600000.0,0.38,2130526315
30Sep2020,1642300000.0,0.43,3819302325
30Jun2020,677100000.0,0.09,7523333333
31Mar2020,5319000000.0,2.7,1969999999
31Dec2019,207400000.0,-0.08,-2592500000
30Sep2019,1601200000.0,0.38,4213684210
30Jun2019,3156500000.0,1.06,2977830188
31Mar2019,791300000.0,0.19,4164736842
31Dec2018,2895600000.0,0.96,3016250000
30Sep2018,-65300000.0,1.26,-51825396
30Jun2018,13998800000.0,6.19,2261518578
31Mar2018,-38262000000.0,-14.23,2688826423
