DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,38785700000.0,3.11,12471286173
30Sep2024,35909900000.0,2.88,12468715277
30Jun2024,33290300000.0,2.67,12468277153
31Mar2024,40503000000.0,3.24,12500925925
31Dec2023,4487400000.0,0.42,10684285714
30Sep2023,-85306000000.0,-6.94,12291930835
30Jun2023,42707000000.0,3.49,12236962750
31Mar2023,40208600000.0,3.29,12221458966
31Dec2022,27051300000.0,2.21,12240407239
30Sep2022,26549500000.0,2.17,12234792626
30Jun2022,61141700000.0,50.03,1222100739
31Mar2022,78394600000.0,64.14,1222241970
31Dec2021,76833870000.0,62.88,1221912690
30Sep2021,87082600000.0,71.3,1221354838
30Jun2021,67800400000.0,56.45,1201069973
31Mar2021,65935400000.0,57.03,1156152901
31Dec2020,36149400000.0,31.11,1161986499
30Sep2020,22048700000.0,18.8,1172803191
30Jun2020,11932700000.0,9.98,1195661322
31Mar2020,-4368300000.0,-4.24,1030259433
31Dec2019,18038300000.0,15.3,1178973856
30Sep2019,38378100000.0,33.0,1162972727
30Jun2019,15389900000.0,13.05,1179302681
31Mar2019,22972900000.0,20.86,1101289549
31Dec2018,17012000000.0,19.57,869289729
30Sep2018,30503700000.0,31.11,980511089
30Jun2018,23181500000.0,19.85,1167833753
31Mar2018,145808400000.0,96.4,1512535269
