DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,8583000000.0,8.76,979794520
30Sep2024,12938000000.0,13.21,979409538
30Jun2024,6248000000.0,6.38,979310344
31Mar2024,5275000000.0,5.39,978664192
31Dec2023,4859000000.0,4.97,977665995
30Sep2023,5558000000.0,5.68,978521126
30Jun2023,6957796000.0,7.84,887473979
31Mar2023,6767000000.0,6.93,976479076
31Dec2022,12852704000.0,14.7,874333605
30Sep2022,12991621000.0,14.582,890935468
31Mar2022,15452408000.0,17.09,904178349
31Dec2021,13781752000.0,15.58,884579717
30Sep2021,13409475000.0,15.26,878733617
30Jun2021,13657000000.0,15.43,885093972
31Mar2021,10443000000.0,12.37,844219886
31Dec2020,12556000000.0,12.97,968080185
30Sep2020,9615893000.0,9.93,968367875
30Jun2020,8542000000.0,8.83,967383918
31Mar2020,7263820000.0,9.21,788688382
31Dec2019,9231907000.0,9.55,966691832
30Sep2019,13968000000.0,14.44,967313019
30Jun2019,8227000000.0,8.5,967882352
31Mar2019,9809273000.0,9.98,982893086
31Dec2018,12067801000.0,13.55,890612619
30Sep2018,13370689000.0,13.59,983862325
31Mar2018,9872400000.0,10.08,979404761
