DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,9902550000.0,11.16,887325268
30Sep2024,7045330000.0,7.95,886205031
30Jun2024,7700000000.0,8.68,887096774
31Mar2024,7858830000.0,8.86,887001128
31Dec2023,10400000000.0,11.73,886615515
30Jun2023,7773760000.0,8.76,887415525
31Mar2023,7340000000.0,8.27,887545344
31Dec2022,9510000000.0,10.71,887955182
30Sep2022,8570000000.0,9.664,886796357
30Jun2022,7930000000.0,8.93,888017917
31Mar2022,4913610000.0,5.54,886933212
31Dec2021,9871430000.0,11.12,887718525
30Sep2021,6408680000.0,7.22,887628808
30Jun2021,608440000.0,0.69,881797101
31Mar2021,5289550000.0,5.96,887508389
31Dec2020,4192880000.0,4.72,888322033
30Sep2020,1983690000.0,2.24,885575892
30Jun2020,-2700000000.0,-3.04,888157894
31Mar2020,3567900000.0,4.01,889750623
31Dec2019,4700600000.0,5.29,888582230
30Sep2019,3201600000.0,3.61,886869806
30Jun2019,3707300000.0,4.18,886913875
31Mar2019,2945760000.0,3.32,887277108
31Dec2018,4162331000.0,4.69,887490618
30Sep2018,3143800000.0,3.54,888079096
31Mar2018,2821200000.0,3.18,887169811
