DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14343700000.0,49.77,288199718
30Sep2024,7968900000.0,27.65,288206148
30Jun2024,17083000000.0,59.27,288223384
31Mar2024,22519500000.0,78.14,288194266
31Dec2023,16965300000.0,58.86,288231396
30Sep2023,12056500000.0,41.83,288226153
30Jun2023,17055000000.0,59.16,288286004
31Mar2023,16502600000.0,57.24,288305380
31Dec2022,9942300000.0,34.48,288349767
30Sep2022,7183700000.0,24.915,288328316
31Mar2022,24538900000.0,85.08,288421485
31Dec2021,16315000000.0,56.58,288352774
30Sep2021,13000900000.0,45.08,288396184
30Jun2021,16810600000.0,58.27,288494937
31Mar2021,17775500000.0,61.62,288469652
31Dec2020,15502800000.0,53.75,288424186
30Sep2020,12086700000.0,41.9,288465393
30Jun2020,8055700000.0,27.93,288424633
31Mar2020,32408300000.0,112.43,288253135
31Dec2019,6431500000.0,22.3,288408071
30Sep2019,6391900000.0,22.16,288443140
30Jun2019,11987000000.0,43.68,274427655
31Mar2019,10143100000.0,36.92,274731852
31Dec2018,3902600000.0,14.34,272147838
30Sep2018,3908000000.0,14.23,274631061
