DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,17830000000.0,4.56,3910087719
30Sep2024,105530000000.0,27.26,3871239911
30Jun2024,50950000000.0,9.72,5241769547
31Mar2024,1090000000.0,0.29,3758620689
31Dec2023,30840000000.0,8.29,3720144752
30Sep2023,220000000.0,0.06,3666666666
30Jun2023,34080000000.0,9.16,3720524017
31Mar2023,148720000000.0,39.98,3719859929
31Dec2022,46840000000.0,12.59,3720413026
30Sep2022,26900000000.0,4.884,5507780507
30Jun2022,16740000000.0,4.5,3720000000
31Mar2022,72610000000.0,15.66,4636653895
31Dec2021,53540000000.0,11.24,4763345195
30Sep2021,32790000000.0,8.82,3717687074
30Jun2021,33360000000.0,8.97,3719063545
31Mar2021,14410000000.0,3.87,3723514211
31Dec2020,42240000000.0,8.91,4740740740
30Sep2020,3780000000.0,1.02,3705882352
30Jun2020,15220000000.0,2.79,5455197132
31Mar2020,-102860000000.0,-27.65,3720072332
31Dec2019,8910000000.0,2.4,3712500000
30Sep2019,29130000000.0,7.84,3715561224
30Jun2019,-2500000000.0,-0.67,3731343283
31Mar2019,32180000000.0,7.06,4558073654
31Dec2018,23320000000.0,4.25,5487058823
30Sep2018,19000000000.0,3.62,5248618784
30Jun2018,22480000000.0,4.13,5443099273
31Mar2018,56750000000.0,12.95,4382239382
