DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,28121000000.0,2.69,10453903345
30Sep2024,27135000000.0,5.19,5228323699
30Jun2024,23746000000.0,4.54,5230396475
31Mar2024,24466000000.0,4.68,5227777777
31Dec2023,20229000000.0,3.88,5213659793
30Sep2023,20613000000.0,3.94,5231725888
30Jun2023,25878000000.0,4.72,5482627118
31Mar2023,22641000000.0,4.13,5482082324
31Dec2022,24131000000.0,4.4,5484318181
30Sep2022,22829000000.0,4.17,5474580335
31Mar2022,54788000000.0,10.02,5467864271
31Dec2021,24650000000.0,4.51,5465631929
30Sep2021,23874000000.0,4.37,5463157894
30Jun2021,18041000000.0,3.3,5466969696
31Mar2021,30130000000.0,5.47,5508226691
31Dec2020,26113000000.0,4.58,5701528384
30Sep2020,22440000000.0,3.94,5695431472
30Jun2020,21926000000.0,3.85,5695064935
31Mar2020,21583000000.0,3.79,5694722955
31Dec2019,22613000000.0,3.95,5724810126
30Sep2019,22470000000.0,3.79,5928759894
30Jun2019,20141000000.0,3.35,6012238805
31Mar2019,15660000000.0,2.61,6000000000
31Dec2018,25184000000.0,5.59,4505187835
30Sep2018,18837000000.0,4.19,4495704057
