DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,1260000000.0,1.31,961832061
30Sep2024,3073000000.0,3.2,960312500
30Jun2024,1125200000.0,1.17,961709401
31Mar2024,841800000.0,0.88,956590909
31Dec2023,763100000.0,0.79,965949367
30Sep2023,1552400000.0,1.62,958271604
30Jun2023,37700000.0,0.04,942500000
31Mar2023,-3510100000.0,-3.65,961671232
31Dec2022,245400000.0,0.25,981600000
30Sep2022,1765600000.0,1.84,959565217
30Jun2022,1065200000.0,1.11,959639639
31Mar2022,3217100000.0,3.35,960328358
31Dec2021,3789700000.0,3.95,959417721
30Sep2021,3262800000.0,3.4,959647058
30Jun2021,3118900000.0,3.25,959661538
31Mar2021,4374200000.0,4.55,961362637
31Dec2020,4694300000.0,4.89,959979550
30Sep2020,1719000000.0,1.79,960335195
30Jun2020,642700000.0,0.67,959253731
31Mar2020,-2957400000.0,-3.08,960194805
31Dec2019,3488000000.0,3.64,958241758
30Sep2019,1975900000.0,2.06,959174757
30Jun2019,5121900000.0,5.33,960956848
31Mar2019,3082900000.0,3.21,960404984
31Dec2018,6030100000.0,6.28,960207006
30Sep2018,3770000000.0,3.93,959287531
31Mar2018,2300600000.0,2.41,954605809
